smiles,Crystallization_Temperature_K
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,457.75
[*]NCCCCCC([*])=O,455.2136364
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,414.5785714
[H][C@@]1(C[*])C([H])(CO)O[C@](CO[*])([H])[C@@]([H])(NC(C)=O)[C@@](O)1[H],506.15
[*]C([H])([H])C([H])([H])[*],392.0166667
[*]C1=C(OC)C=C(/C=C/[*])C(OCC(CC)CCCC)=C1,458.15
[*]CC(F)([*])F,433.3166667
[*]/C=C/C1=CC=C([*])C=C1,397.75
[*]OC([H])(C)C([*])=O,423.15
[*]N(CCCCCC([*])=O)[H],431.65
[*]C([c@@]4ccccc4)C[C@@H]([c@@]3ccccc3)CC(C[C@@H]([c@@]2ccccc2)C[*])[c@@]1ccccc1,520.15
[*]C(C)C(O[*])=O,391.9
[*]C1=CC(CCCCCCCC)=C(C2=C(CCCCCCCC)C=C([*])C=C2)C=C1,408.8642857
[*]C1=C(CCCCCC)C=C([*])S1,458.15
[*]CC(C1=CC=CC=N1)[*],432.35
C[Si]([*])(CCCC#N)O[*],617.15
[*]CC(C(NC(C)C)=O)[*],393.15
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,556.28
[*]CCCCO[*],409.4
[*]N([H])CCCCCC([*])=O,463.15
[*]C(C[*])C1=CC=CC=C1,529.725
[*]OCCCCCC([*])=O,473.15
