smiles,Youngs_Modulus_MPa
[*]NC1=CC=C([*])C=C1,400.3309091
COC(C([*])(C[*])C)=O,526.618
[*]C/C=C/C[*],36.04285714
[*]C([H])(O[*])[H],7362.941176
[*]C(C[*])C1=CC=CC=C1,1719.222222
[*]NCCCCCC([*])=O,2436.48
[*]CC(C(N)=O)[*],0.331276048
[*]CC(C)(C(O)=O)[*],31.712
[*]NCCCCCC([*])=O,7265.084483
[*]CC(C(NC(C)C)=O)[*],1.15925
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,2553.111111
[*]CC(C)(C(OCCO)=O)[*],48.69761905
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,5184.212286
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,465.8853571
[*]CC(O)[*],4665.4875
[*]CC(C(NC(C)C)=O)[*],0.0341
[*]NCCCCCCCCCCC([*])=O,982.9166667
[*]C(CC(O[*])C)=O,332.8933333
[*]CC(C)[*],2013.909091
[*]C(CO[*])=O,5655.465217
[*]CC(C)(C(OCC)=O)[*],104.25
FC(F)(C(F)([*])F)[*],195.9166667
[*]CCO[*],242.2857143
FC(F)(C(F)([*])F)[*],703.3333333
[*]C1=CC=C([*])N1,522.3333333
[*]CC([*])O,6079.936
[*]OC(CC([*])=O)C,2062.2
[*]CC([*])C#N,49269.13043
[*]CC(C#N)[*],49269.13043
[*]OCC[*],18.29632464
[*]C(C)C(O[*])=O,3017.333333
[*]CC(C)([*])C,1092.5
[*]C(C[*])C1=CC=NC=C1,95.33333333
[*]C1=CC=C([*])S1,85.75
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,2265.833333
[*]OC(C([*])=O)C,2577.602
[*]CCO[*],30.5
[*]CC(C(O)=O)[*],102.2109091
[*][Si](C)(C)O[*],2.465909091
[*]OCC(C)O[*],312.85
[*]OCC[*],13.93761275
[*]OCCCCCC([*])=O,109.5215385
[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,3016.25
[*]CC(C)(C(OCC1CO1)=O)[*],189.39
[*]C(C1=CC=C(C(OCCO[*])=O)C=C1)=O,2539.769231
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,114482.931
[*]C(C)C[*],1635.936953
[*]OC(C1=CC=C(C(OCC[*])=O)O1)=O,2532.296296
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,1041.64
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,2040.786932
[*]CCCCO[*],173.87
[*]NCCCCCC([*])=O,2379.714286
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,1181.558824
[H][C@@]1(C[*])C([H])(CO)O[C@](CO[*])([H])[C@@]([H])(NC(C)=O)[C@@](O)1[H],5488.61875
[*]C([H])([H])C([H])([H])[*],1199.083333
[*]C1=C(OC)C=C(/C=C/[*])C(OCC(CC)CCCC)=C1,9300.0
[*]C/C(C)=C/C[*],27.4625
[*]CC(F)([*])F,7282.5
[*]/C=C/C1=CC=C([*])C=C1,10876.77778
[*]CC(C(NC(C)C)=O)[*],0.0065
O=C1CCCCCN1C([*])C[*],0.58
[*]OC([H])(C)C([*])=O,2100.2
[*]C(C[*])N1C3=C(C=CC=C3)C2=C1C=CC=C2,2390.0
[*]N(CCCCCC([*])=O)[H],2422.492308
[*]CC(C(N(C)C)=O)[*],0.095925
[*]C([c@@]4ccccc4)C[C@@H]([c@@]3ccccc3)CC(C[C@@H]([c@@]2ccccc2)C[*])[c@@]1ccccc1,1.39785
[*]CC(C)(C(OC)=O)[*],3171.25
[*]C([H])([H])C(F)([*])F,3047.666667
[*]C(C)C(O[*])=O,2720.130476
C/C(C[*])=C(C[*])\[H],45.08823529
OC1=C(O)C([*])=C2C(NC=C2)=C1[*],6063.333333
[*]C1=CC(CCCCCCCC)=C(C2=C(CCCCCCCC)C=C([*])C=C2)C=C1,12947.33333
[*]C1=C(CCCCCC)C=C([*])S1,208.5
[*]C([H])([H])C(Cl)([H])[*],1553.875
[*]C(C1=CC=CC=C1)C[*],1120.5
C[Si]([*])(CCCC#N)O[*],9427.5
[*]C(C[*])C1=CC=CC=C1,3000.0
[*]CC(C(NC(C)C)=O)[*],0.189357927
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,1676.666667
[*]CC(CC(C)C)[*],1979.666667
[*]CCCCO[*],291.75
[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,2575.0
[*]CC(C(NC(C)C)=O)[*],3.950226667
[*]CC(C)(C(O)=O)[*],6.5085
[*]C(C(NC(C)C)=O)C[*],0.00283
[*]N([H])CCCCCC([*])=O,37840.88
[*]CC(N1C(CCCCC1)=O)[*],258.46
[*]C([H])([H])C([H])([H])[*],332.5
[*]C(C[*])C1=CC=CC=C1,20.2
[*]OCCCCCC([*])=O,267.3988
