smiles,Atomization_Energy_eV
*Cc1ccc(C*)cc1,-5.84
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,-5.41
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,-5.99
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,-6.13
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,-6.12
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,-6.07
*Oc1ccc(C(=S)c2ccc(*)s2)s1,-6.04
*C(=S)OC(=S)c1ccc(*)s1,-5.95
*Oc1ccc(Oc2ccc(*)s2)s1,-6.02
*OC(=S)Oc1ccc(*)s1,-5.94
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,-6.24
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,-6.21
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,-6.28
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,-6.27
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,-6.29
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,-6.22
*c1ccc(-c2ccc(Oc3ccc(*)s3)s2)cc1,-6.21
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,-6.17
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,-6.29
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,-6.34
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,-6.31
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,-6.34
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,-6.29
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,-6.16
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,-6.18
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,-6.17
*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,-6.28
*C(=S)OC(=S)c1ccc(*)cc1,-6.13
*Oc1ccc(Oc2ccc(*)cc2)s1,-6.18
*c1ccc(OC(=S)c2ccc(*)s2)cc1,-6.21
*OC(=S)Oc1ccc(*)cc1,-6.18
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,-6.03
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,-5.95
*Cc1ccc(-c2ccc(O*)s2)s1,-5.95
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,-6.12
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,-6.05
*Cc1ccc(-c2ccc(O*)cc2)s1,-6.09
*Cc1ccc(Cc2ccc(*)s2)s1,-5.81
*Cc1ccc(CC(*)=S)s1,-5.65
*Cc1ccc(C(=O)c2ccc(*)s2)s1,-6.08
*Cc1ccc(C(=O)C(*)=S)s1,-5.99
*Cc1ccc(C(=O)O*)s1,-6.07
*Cc1ccc(C(=S)c2ccc(*)s2)s1,-5.94
*Cc1ccc(C(=S)O*)s1,-5.82
*Cc1ccc(Nc2ccc(*)s2)s1,-5.9
*Cc1ccc(NC(*)=S)s1,-5.77
*Cc1ccc(NO*)s1,-5.66
*Cc1ccc(Oc2ccc(*)s2)s1,-5.92
*Cc1ccc(OC(*)=S)s1,-5.78
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,-6.12
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,-6.2
*Cc1ccc(-c2ccc(C(*)=S)s2)cc1,-6.08
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,-6.19
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,-6.26
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,-6.17
*Cc1ccc(-c2ccc(O*)cc2)cc1,-6.2
*Cc1ccc(Cc2ccc(*)s2)cc1,-5.99
*Cc1ccc(Cc2ccc(*)cc2)cc1,-6.09
*Cc1ccc(CC(*)=S)cc1,-5.85
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,-6.2
*Cc1ccc(C(=O)c2ccc(*)cc2)cc1,-6.29
*Cc1ccc(C(=O)C(*)=S)cc1,-6.14
*Cc1ccc(C(=S)c2ccc(*)s2)cc1,-6.07
*Cc1ccc(C(=S)c2ccc(*)cc2)cc1,-6.17
*Cc1ccc(C(=S)O*)cc1,-6.0
*Cc1ccc(Nc2ccc(*)s2)cc1,-6.04
*Cc1ccc(Nc2ccc(*)cc2)cc1,-6.15
*Cc1ccc(NC(*)=S)cc1,-5.97
*Cc1ccc(NO*)cc1,-5.9
*Cc1ccc(Oc2ccc(*)s2)cc1,-6.08
*Cc1ccc(OC(*)=S)cc1,-6.0
*CCc1ccc(-c2ccc(*)s2)s1,-5.86
*CCc1ccc(C(*)=S)s1,-5.69
*CCc1ccc(O*)s1,-5.67
*CCc1ccc(-c2ccc(*)s2)cc1,-5.98
*CCc1ccc(C(*)=S)cc1,-5.87
*CCc1ccc(O*)cc1,-5.89
*CCCc1ccc(*)s1,-5.57
*CCCc1ccc(*)cc1,-5.78
*CCCC(*)=O,-5.52
*CCCC(*)=S,-5.22
*CCC(=O)c1ccc(*)s1,-5.9
*CCC(=O)c1ccc(*)cc1,-6.05
*CCC(=O)C(*)=S,-5.61
*CCC(=S)O*,-5.34
*CCNc1ccc(*)s1,-5.63
*CCNc1ccc(*)cc1,-5.85
*CCNC(*)=S,-5.36
*CCON*,-5.12
*CC(=O)c1ccc(-c2ccc(*)s2)s1,-6.12
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,-6.21
*CC(=O)c1ccc(C(*)=O)s1,-6.21
*CC(=O)c1ccc(C(*)=S)s1,-6.0
*CC(=O)c1ccc(O*)s1,-6.03
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,-6.2
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,-6.29
*CC(=O)c1ccc(C(*)=O)cc1,-6.34
*CC(=O)c1ccc(C(*)=S)cc1,-6.15
*CC(=O)c1ccc(O*)cc1,-6.19
*CC(=O)Cc1ccc(*)s1,-5.87
*CC(=O)Cc1ccc(*)cc1,-6.05
*CC(=O)CC(*)=O,-5.95
*CC(=O)CC(*)=S,-5.62
*CC(=O)CO*,-5.62
*CC(=O)C(=S)c1ccc(*)s1,-6.0
*CC(=O)C(=S)c1ccc(*)cc1,-6.15
*CC(=O)C(=S)C(*)=O,-6.06
*CC(=O)C(=S)O*,-5.8
*CC(=O)Nc1ccc(*)s1,-6.01
*CC(=O)Nc1ccc(*)cc1,-6.16
*CC(=O)NC(*)=O,-6.2
*CC(=O)NC(*)=S,-5.8
*CC(=O)Oc1ccc(*)s1,-6.05
*CC(=O)OC(*)=O,-6.3
*CC(=O)OC(*)=S,-5.87
*CC(=S)c1ccc(C(*)=S)s1,-5.78
*CC(=S)c1ccc(O*)s1,-5.8
*CC(=S)c1ccc(C(*)=S)cc1,-5.91
*CC(=S)c1ccc(N*)cc1,-5.95
*CC(=S)c1ccc(O*)cc1,-5.99
*CC(=S)CC(*)=S,-5.3
*CC(=S)CO*,-5.27
*CC(=S)C(=O)C(*)=S,-5.79
*CC(=S)C(=O)O*,-5.84
*CC(=S)NC(*)=S,-5.43
*CC(=S)NO*,-5.27
*CC(=S)OC(*)=S,-5.45
*CNc1ccc(-c2ccc(*)cc2)s1,-6.04
*CNc1ccc(C(*)=O)s1,-6.0
*CNc1ccc(C(*)=S)s1,-5.78
*CNc1ccc(N*)s1,-5.7
*CNc1ccc(O*)s1,-5.74
*CNc1ccc(-c2ccc(*)s2)cc1,-6.05
*CNc1ccc(C(*)=O)cc1,-6.14
*CNc1ccc(N*)cc1,-5.93
*CNc1ccc(O*)cc1,-5.98
*CNCc1ccc(*)s1,-5.61
*CNCc1ccc(*)cc1,-5.84
*CNCC(*)=O,-5.59
*CNCC(*)=S,-5.26
*CNCN*,-5.22
*CNCO*,-5.27
*CNC(=O)c1ccc(*)s1,-6.02
*CNC(=O)C(*)=S,-5.8
*CNC(=S)c1ccc(*)s1,-5.79
*CNC(=S)c1ccc(*)cc1,-5.96
*CNC(=S)C(*)=O,-5.79
*CNC(=S)N*,-5.48
*CNC(=S)O*,-5.49
*CNOc1ccc(*)s1,-5.66
*CNOc1ccc(*)cc1,-5.9
*CNOC(*)=S,-5.28
*CNON*,-5.01
*COc1ccc(-c2ccc(*)cc2)s1,-6.07
*COc1ccc(O*)s1,-5.78
*COc1ccc(O*)cc1,-6.03
*COC(=O)O*,-5.97
*COC(=S)O*,-5.47
*CONC(*)=O,-5.69
*CONO*,-5.08
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,-6.27
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,-6.22
*Oc1ccc(-c2ccc(C(*)=O)s2)s1,-6.27
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,-6.34
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)s1,-6.29
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,-6.38
*C(=O)c1ccc(C(=O)c2ccc(*)s2)s1,-6.37
*C(=O)c1ccc(C(=O)C(*)=S)s1,-6.33
*OC(=O)c1ccc(C(*)=O)s1,-6.49
*OC(=S)c1ccc(C(*)=O)s1,-6.21
*C(=O)c1ccc(Oc2ccc(*)s2)s1,-6.22
*C(=O)c1ccc(OC(*)=S)s1,-6.17
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,-6.38
*Oc1ccc(-c2ccc(C(*)=O)cc2)s1,-6.35
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,-6.42
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,-6.37
*C(=O)c1ccc(C(=O)c2ccc(*)s2)cc1,-6.45
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,-6.51
*C(=O)c1ccc(C(=O)C(*)=S)cc1,-6.42
*OC(=S)c1ccc(C(*)=O)cc1,-6.35
*C(=O)c1ccc(Oc2ccc(*)s2)cc1,-6.33
*C(=O)c1ccc(OC(*)=S)cc1,-6.3
*C(=O)C(=S)OC(*)=S,-5.98
*C(=O)Oc1ccc(C(*)=S)s1,-6.21
*Oc1ccc(OC(*)=O)s1,-6.25
*C(=O)Oc1ccc(C(*)=S)cc1,-6.32
*OC(=O)OC(*)=O,-6.78
*OC(=S)OC(*)=O,-6.2
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,-6.09
*Cc1ccc(-c2ccc(N*)s2)s1,-5.92
*Nc1ccc(-c2ccc(C(*)=O)s2)s1,-6.22
*Nc1ccc(-c2ccc(C(*)=S)s2)s1,-6.05
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,-6.18
*Nc1ccc(-c2ccc(C(*)=S)cc2)s1,-6.15
*Nc1ccc(C(=O)c2ccc(*)s2)s1,-6.18
*Nc1ccc(C(=O)C(*)=S)s1,-6.15
*Nc1ccc(C(=S)c2ccc(*)s2)s1,-6.0
*Nc1ccc(C(=S)c2ccc(*)cc2)s1,-6.15
*Nc1ccc(Nc2ccc(*)s2)s1,-5.96
*Nc1ccc(NC(*)=S)s1,-5.89
*Nc1ccc(Oc2ccc(*)s2)s1,-5.99
*Nc1ccc(OC(*)=S)s1,-5.92
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,-6.18
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,-6.26
*Nc1ccc(-c2ccc(C(*)=S)s2)cc1,-6.18
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,-6.26
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,-6.31
*Cc1ccc(-c2ccc(N*)cc2)cc1,-6.15
*Nc1ccc(-c2ccc(C(*)=S)cc2)cc1,-6.25
*Nc1ccc(-c2ccc(O*)cc2)cc1,-6.21
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,-6.29
*Nc1ccc(C(=O)C(*)=S)cc1,-6.27
*Nc1ccc(C(=O)O*)cc1,-6.22
*Nc1ccc(C(=S)c2ccc(*)cc2)cc1,-6.23
*Nc1ccc(Nc2ccc(*)s2)cc1,-6.11
*Nc1ccc(NO*)cc1,-5.91
*Nc1ccc(Oc2ccc(*)s2)cc1,-6.14
*Nc1ccc(Oc2ccc(*)cc2)cc1,-6.26
*Nc1ccc(OC(*)=S)cc1,-6.14
*NC(=O)c1ccc(-c2ccc(*)cc2)s1,-6.33
*NC(=O)c1ccc(C(*)=O)s1,-6.4
*NC(=O)c1ccc(C(*)=S)s1,-6.14
*NC(=O)c1ccc(O*)s1,-6.08
*NC(=O)c1ccc(-c2ccc(*)s2)cc1,-6.31
*NC(=O)c1ccc(-c2ccc(*)cc2)cc1,-6.4
*NC(=O)c1ccc(C(*)=S)cc1,-6.28
*NC(=O)c1ccc(O*)cc1,-6.24
*NC(=O)C(=S)c1ccc(*)s1,-6.16
*NC(=O)C(=S)c1ccc(*)cc1,-6.26
*NC(=O)C(=S)C(*)=O,-6.35
*NC(=O)C(=S)O*,-5.88
*NC(=O)Nc1ccc(*)s1,-6.15
*NC(=O)Nc1ccc(*)cc1,-6.31
*NC(=O)NC(*)=O,-6.46
*NC(=O)NC(*)=S,-6.02
*NC(=O)NO*,-5.7
*NC(=O)Oc1ccc(*)s1,-6.2
*NC(=O)Oc1ccc(*)cc1,-6.35
*NC(=O)OC(*)=S,-6.1
*NC(=S)c1ccc(C(*)=S)s1,-5.92
*NC(=S)c1ccc(O*)s1,-5.82
*NC(=S)c1ccc(O*)cc1,-6.02
*NC(=S)C(=O)C(*)=S,-5.94
*NC(=S)C(=O)O*,-5.89
*NC(=S)Nc1ccc(*)cc1,-6.09
*NC(=S)NC(*)=S,-5.69
*NC(=S)NO*,-5.23
*NC(=S)OC(*)=S,-5.64
*NOc1ccc(O*)cc1,-5.98
*NOC(=O)O*,-5.77
*NOC(=S)O*,-5.2
*NC(=S)Nc1ccc(NC(=S)Nc2ccc(Oc3ccc(*)cc3)cc2)cc1,-6.15
*NC(=S)Nc1ccc(NC(=S)Nc2ccc(Cc3ccc(*)cc3)cc2)cc1,-6.09
*NC(=S)Nc1ccc(Cc2ccc(*)cc2)cc1,-6.09
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,-5.83
*C(=O)NC(=O)c1ccc(*)cc1,-6.48
*NC(=O)OC(*)=O,-6.61
*OC(=O)C(=S)C(*)=O,-6.47
*OCCC(=O)CC(=O)Oc1ccc(*)cc1,-6.01
*CCOC(=S)NC(=S)c1ccc(N*)cc1,-5.81
*CNCCCOCO*,-5.21
*CNCNC(=O)NC(=O)N*,-5.84
*CNC(=O)NCOCO*,-5.58
*CNC(=O)ONC(=O)NO*,-5.82
*COCOCCCO*,-5.22
*CNCCNC(=O)OC*,-5.49
*NOC(=O)NCC(=O)NC(*)=O,-6.11
*NCCCNC(=O)NC(*)=O,-5.77
*Nc1ccc(NC(=O)NC(=O)NC(*)=O)s1,-6.29
*NCNC(=O)OC(=O)NC(*)=O,-6.22
*OCCCCONC(*)=O,-5.44
*Oc1ccc(C(=O)c2ccc(C(=O)NOC(*)=O)s2)cc1,-6.35
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)s2)s1,-5.83
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,-5.65
*OC(F)(F)c1ccc(C(*)(F)F)s1,-5.68
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)s1,-5.99
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)cc1,-6.06
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,-5.84
*OC(F)(F)c1ccc(C(*)(F)F)cc1,-5.92
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,-5.66
*Oc1ccc(C(F)(F)C(*)(F)F)s1,-5.67
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)s1,-5.98
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)cc1,-6.1
*C(=S)c1ccc(C(F)(F)C(*)(F)F)cc1,-5.85
*Oc1ccc(C(F)(F)C(*)(F)F)cc1,-5.89
*c1ccc(CC(F)(F)C(*)(F)F)s1,-5.59
*c1ccc(CC(F)(F)C(*)(F)F)cc1,-5.78
*C(=O)CC(F)(F)C(*)(F)F,-5.5
*C(=S)CC(F)(F)C(*)(F)F,-5.19
*NCC(F)(F)C(*)(F)F,-5.24
*OCC(F)(F)C(*)(F)F,-5.23
*c1ccc(C(=O)C(F)(F)C(*)(F)F)s1,-5.86
*c1ccc(C(=O)C(F)(F)C(*)(F)F)cc1,-6.03
*C(=S)C(=O)C(F)(F)C(*)(F)F,-5.51
*OC(=S)C(F)(F)C(*)(F)F,-5.26
*c1ccc(NC(F)(F)C(*)(F)F)s1,-5.66
*c1ccc(NC(F)(F)C(*)(F)F)cc1,-5.86
*C(=O)NC(F)(F)C(*)(F)F,-5.65
*C(=S)NC(F)(F)C(*)(F)F,-5.29
*NOC(F)(F)C(*)(F)F,-5.15
*c1ccc(C(F)(F)CC(*)(F)F)s1,-5.59
*c1ccc(C(F)(F)CC(*)(F)F)cc1,-5.8
*C(=O)C(F)(F)CC(*)(F)F,-5.48
*C(=S)C(F)(F)CC(*)(F)F,-5.2
*NC(F)(F)CC(*)(F)F,-5.26
*OC(F)(F)CC(*)(F)F,-5.25
*C(=O)C(F)(F)C(=O)C(*)(F)F,-5.77
*OC(F)(F)C(=O)C(*)(F)F,-5.57
*OC(F)(F)C(=S)C(*)(F)F,-5.24
*c1ccc(C(F)(F)NC(*)(F)F)s1,-5.66
*c1ccc(C(F)(F)NC(*)(F)F)cc1,-5.88
*C(=O)C(F)(F)NC(*)(F)F,-5.56
*C(=S)C(F)(F)NC(*)(F)F,-5.29
*NC(F)(F)NC(*)(F)F,-5.31
*OC(F)(F)NC(*)(F)F,-5.29
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)cc2)cc1,-6.3
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,-6.27
*c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)cc1,-6.22
*Cc1ccc(CO*)s1,-5.68
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,-6.19
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,-6.31
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)cc1,-6.3
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,-6.38
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,-6.31
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,-6.38
*Nc1ccc(C(=O)O*)s1,-6.14
*Nc1ccc(C(=O)c2ccc(*)cc2)cc1,-6.34
*CCCCCCNC(=S)Nc1ccc(NC(=S)N*)cc1,-5.61
*NC(=O)NC(=O)c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)s1,-6.19
*c1ccc(C(=S)c2ccc(C(=S)C(=O)Nc3ccc(-c4ccc(*)s4)cc3)s2)s1,-6.19
*OCC(=S)c1ccc(C(=S)Cc2ccc(-c3ccc(*)cc3)cc2)s1,-6.04
*Nc1ccc(-c2ccc(C(=S)c3ccc(-c4ccc(Nc5ccc(*)cc5)s4)s3)s2)s1,-6.12
*NC(=O)c1ccc(NC(=S)c2ccc(Nc3ccc(*)cc3)cc2)s1,-6.21
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,-6.14
*Nc1ccc(NC(=O)NONC(*)=O)s1,-5.99
*C(=S)C(=O)CCNc1ccc(C(=S)c2ccc(*)cc2)cc1,-6.05
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)s2)s1,-5.87
*OC(=O)C(F)(F)C(*)(F)F,-5.64
*c1ccc(C(F)(F)C(=O)C(*)(F)F)s1,-5.82
*c1ccc(C(F)(F)C(=O)C(*)(F)F)cc1,-6.01
*OC(F)(F)OC(*)(F)F,-5.25
*C(C)COCC(C)OCCOCCOCC(C)N1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,-5.89
