smiles,Flexural_Strength_MPa
[*]OC(C([*])=O)C,80.51571429
[*][Si](C)(C)O[*],0.2
[*]OCC[*],96.0
[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,118.9566667
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,247.0
[*]C(C)C[*],47.84983871
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,35.718
[*]NCCCCCC([*])=O,44.725
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,51.0
[*]C([H])([H])C([H])([H])[*],98.03166667
[*]CC(F)([*])F,50.85
[*]C([H])([H])C(F)([*])F,50.85
[*]C(C)C(O[*])=O,112.0
C/C(C[*])=C(C[*])\[H],24.63333333
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,60.2
[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,742.5
[*]C(C[*])C1=CC=CC=C1,34.105
[*]OCCCCCC([*])=O,51.66666667
