smiles,Tm_K
O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,541.7983871
[*]C1=CC(C)=C(O[*])C(C)=C1,476.4511111
[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],514.4277778
[*]CC(C)[*],436.7689011
[*]CC[*],409.4121805
[*]C1=CC=C([*])N1,432.2476923
[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,501.219115
COC(C([*])(C[*])C)=O,418.79
[*]C1=C2C(OCCO2)=C([*])S1,367.33
CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,496.25
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],458.97
OC1C([*])C(CO)OC(O[*])C1O,442.08
[*]CC(C)(C(OCCN(C)C)=O)[*],357.45
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],416.4140909
[*]CC([*])OC(C)=O,400.6785714
[*]CC(C(NC(C)C)=O)[*],327.1181818
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,449.97
[*]CC(C(OCCCC)=O)[*],326.6822581
O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,603.15
[*]CC([*])(C=C)C,316.6916667
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,372.7752747
[*]C/C=C/C[*],391.3238095
[*][Si](C)(O[*])C,334.45
[*]OCCCCCC([*])=O,332.9552174
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],396.25
[*]OCCCOC([*])=O,310.476087
CC(C([*])=O)O[*],448.9740566
[*]NCCCCCC([*])=O,471.6521277
[*]NCCCCCCCCCCCC([*])=O,452.7014925
[*]CC(C(N)=O)[*],441.99875
[*]CC(C)(C(OCCCC)=O)[*],465.775
[*]CC(C(N)=O)[*],472.29875
CC(C([*])=O)O[*],436.4793103
[*]NCCCCCC([*])=O,494.575
[*]CC([*])O,472.8421212
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,522.2804
[*]CC[*],396.028
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,449.97
[*]NC1=CC=C([*])C=C1,512.4
COC(C([*])(C[*])C)=O,454.2125
[*]C/C=C/C[*],402.3772727
[*]C([H])(O[*])[H],441.821875
[*]C(C[*])C1=CC=CC=C1,542.6674615
[*]NCCCCCC([*])=O,490.694
[*]CC(C(N)=O)[*],611.4
[*]CC(C)(C(O)=O)[*],418.65
[*]NCCCCCC([*])=O,492.5595238
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,334.86
[*]CC(C)(C(OCCO)=O)[*],438.15
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,523.15
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,375.3931818
[*]CC(O)[*],487.65
[*]CC(C(NC(C)C)=O)[*],335.9
[*]NCCCCCCCCCCC([*])=O,457.7833333
[*]C(CC(O[*])C)=O,424.2945763
[*]CC(C)[*],437.5423077
[*]C(CO[*])=O,494.0678082
[*]CC(C)(C(OCC)=O)[*],381.15
FC(F)(C(F)([*])F)[*],600.65
[*]CCO[*],336.8234091
FC(F)(C(F)([*])F)[*],589.15
[*]C1=CC=C([*])N1,473.15
[*]CC([*])O,464.005
[*]OC(CC([*])=O)C,441.0189655
[*]CC([*])C#N,574.6252941
[*]CC(C#N)[*],574.6252941
[*]OCC[*],325.312069
[*]C(C)C(O[*])=O,447.6579245
[*]CC(OC)[*],289.4
[*]CC(C)([*])C,356.4
[*]C(C[*])C1=CC=NC=C1,412.4833333
[*]C1=CC=C([*])S1,497.65
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,326.65
[*]OC(C([*])=O)C,433.7
[*]CCO[*],336.3033333
[*]CC(C(O)=O)[*],510.3833333
[*][Si](C)(C)O[*],421.275
[*]OCC(C)O[*],364.7166667
[*]OCC[*],326.7844828
[*]OCCCCCC([*])=O,333.1593023
[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,607.7227273
[*]CC(C)(C(OCC1CO1)=O)[*],339.65
[*]C(C1=CC=C(C(OCCO[*])=O)C=C1)=O,496.575
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,388.15
[*]C(C)C[*],434.6538961
[*]OC(C1=CC=C(C(OCC[*])=O)O1)=O,490.3333333
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,501.4833333
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,511.4295918
[*]CCCCO[*],309.15
[*]NCCCCCC([*])=O,496.1663636
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,457.8026316
[H][C@@]1(C[*])C([H])(CO)O[C@](CO[*])([H])[C@@]([H])(NC(C)=O)[C@@](O)1[H],439.4
[*]C([H])([H])C([H])([H])[*],404.9376596
[*]C1=C(OC)C=C(/C=C/[*])C(OCC(CC)CCCC)=C1,411.65
[*]C/C(C)=C/C[*],343.1277778
[*]CC(F)([*])F,437.96
[*]/C=C/C1=CC=C([*])C=C1,454.15
[*]CC(C(NC(C)C)=O)[*],412.4833333
[*]OC([H])(C)C([*])=O,404.9147059
[*]C(C[*])N1C3=C(C=CC=C3)C2=C1C=CC=C2,627.15
[*]N(CCCCCC([*])=O)[H],493.3011628
[*]CC(C(N(C)C)=O)[*],325.825
[*]C([c@@]4ccccc4)C[C@@H]([c@@]3ccccc3)CC(C[C@@H]([c@@]2ccccc2)C[*])[c@@]1ccccc1,543.15
[*]CC(C)(C(OC)=O)[*],446.4833333
[*]C([H])([H])C(F)([*])F,445.1571429
[*]C(C)C(O[*])=O,436.4793103
C/C(C[*])=C(C[*])\[H],422.275
[*]C1=CC(CCCCCCCC)=C(C2=C(CCCCCCCC)C=C([*])C=C2)C=C1,428.4833333
[*]C1=C(CCCCCC)C=C([*])S1,487.3583333
[*]C([H])([H])C(Cl)([H])[*],355.4833333
[*]CC(C1=CC=CC=N1)[*],399.75
[*]C(C1=CC=CC=C1)C[*],441.4
C[Si]([*])(CCCC#N)O[*],598.15
[*]C(C[*])C1=CC=CC=C1,399.65
[*]CC(C(NC(C)C)=O)[*],327.1181818
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,578.2916667
[*]CC(CC(C)C)[*],488.68125
[*]CCCCO[*],306.9653846
[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,343.15
[*]CC(C(NC(C)C)=O)[*],383.605
[*]CC(C)(C(O)=O)[*],325.1375
[*]N([H])CCCCCC([*])=O,492.7897674
[*]CC(N1C(CCCCC1)=O)[*],500.65
[*]C([H])([H])C([H])([H])[*],383.2933333
[*]C(C[*])C1=CC=CC=C1,475.93125
[*]OCCCCCC([*])=O,332.9552174
