smiles,Tensile_Strength_MPa
[*]CC(C(N)=O)[*],0.373231915
CC(C([*])=O)O[*],58.69304348
[*]NCCCCCC([*])=O,94.68387097
[*]CC([*])O,74.90351351
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,127.4767857
[*]CC[*],20.0265625
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,5.670192308
[*]NC1=CC=C([*])C=C1,6.226666667
COC(C([*])(C[*])C)=O,17.725
[*]C/C=C/C[*],12.78
[*]C([H])(O[*])[H],57.05666667
[*]C(C[*])C1=CC=CC=C1,35.78333333
[*]NCCCCCC([*])=O,87.57755102
[*]CC(C(N)=O)[*],0.595851429
[*]CC(C)(C(O)=O)[*],3.92
[*]NCCCCCC([*])=O,69.33
[*]CC(C(NC(C)C)=O)[*],0.7
[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,67.49894737
[*]CC(C)(C(OCCO)=O)[*],0.974285714
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,43.77
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,23.58615385
[*]CC(O)[*],33.91694444
[*]CC(C(NC(C)C)=O)[*],0.72545
[*]NCCCCCCCCCCC([*])=O,38.61111111
[*]C(CC(O[*])C)=O,15.50842105
[*]CC(C)[*],41.625
[*]C(CO[*])=O,156.4657143
[*]CC(C)(C(OCC)=O)[*],9.45
FC(F)(C(F)([*])F)[*],5.7494
[*]CCO[*],16.21105263
FC(F)(C(F)([*])F)[*],5.0
[*]C1=CC=C([*])N1,33.29545455
[*]CC([*])O,29.49945946
[*]OC(CC([*])=O)C,237.265625
[*]CC([*])C#N,608.6909375
[*]CC(C#N)[*],608.6909375
[*]OCC[*],22.56
[*]C(C)C(O[*])=O,44.28142857
[*]CC(C)([*])C,20.586
[*]C(C[*])C1=CC=NC=C1,7.38
[*]C1=CC=C([*])S1,95.0
[*]C(C(NC(C)C)=O)C[*],0.053
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,44.858
[*]OC(C([*])=O)C,58.42470588
[*]CCO[*],18.705
[*]CC(C(O)=O)[*],1.846923077
[*][Si](C)(C)O[*],3.0
[*]OCC(C)O[*],8.32
[*]OCC[*],7.507272727
[*]OCCCCCC([*])=O,20.32153846
[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,101.7
[*]C(C1=CC=C(C(OCCO[*])=O)C=C1)=O,98.58333333
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,1008.481818
[*]C(C)C[*],35.94686207
[*]OC(C1=CC=C(C(OCC[*])=O)O1)=O,75.21764706
[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,17.54214286
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,31.997
[*]CCCCO[*],21.10714286
[*]NCCCCCC([*])=O,65.24444444
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,57.92
[H][C@@]1(C[*])C([H])(CO)O[C@](CO[*])([H])[C@@]([H])(NC(C)=O)[C@@](O)1[H],81.58333333
[*]C([H])([H])C([H])([H])[*],37.17
[*]C/C(C)=C/C[*],9.588888889
[*]CC(F)([*])F,25.80857143
[*]/C=C/C1=CC=C([*])C=C1,39.9
[*]CC(C(NC(C)C)=O)[*],0.18575
[*]CC(C(NC(C)C)=O)[*],4.7
[*]OC([H])(C)C([*])=O,68.61666667
[*]C(C[*])N1C3=C(C=CC=C3)C2=C1C=CC=C2,2350.0
[*]N(CCCCCC([*])=O)[H],83.68333333
[*]CC(C(N(C)C)=O)[*],0.047282
[*]CC(C)(C(OC)=O)[*],64.0
[*]C([H])([H])C(F)([*])F,58.67222222
[*]C(C)C(O[*])=O,58.69304348
C/C(C[*])=C(C[*])\[H],11.05291667
OC1=C(O)C([*])=C2C(NC=C2)=C1[*],258.25
[*]C1=CC(CCCCCCCC)=C(C2=C(CCCCCCCC)C=C([*])C=C2)C=C1,42.0
[*]C([H])([H])C(Cl)([H])[*],26.02875
[*]C(C1=CC=CC=C1)C[*],8.7
C[Si]([*])(CCCC#N)O[*],35.458
[*]C(C[*])C1=CC=CC=C1,68.33333333
[*]CC(C(NC(C)C)=O)[*],0.3289
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,15.766
[*]CC(CC(C)C)[*],13.62
[*]CCCCO[*],22.78
[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,22.70333333
[*]CC(C(NC(C)C)=O)[*],8.814285714
[*]CC(C)(C(O)=O)[*],2.5
[*]N([H])CCCCCC([*])=O,27.54222222
[*]C([H])([H])C([H])([H])[*],17.05384615
[*]C(C[*])C1=CC=CC=C1,22.93416667
[*]OCCCCCC([*])=O,18.14117647
