smiles,Dielectric_Constant_Total
*CC(=O)Cc1ccc(*)s1,3.61
*CC(=O)NC(*)=O,4.44
*CC(=O)NC(*)=S,4.48
*CC(=O)NO*,3.93
*CC(=O)Nc1ccc(*)cc1,3.95
*CC(=O)Nc1ccc(*)s1,4.08
*CC(=O)OC(*)=O,3.98
*CC(=O)OC(*)=S,3.89
*CC(=O)Oc1ccc(*)cc1,3.57
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,4.07
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,4.72
*CC(=O)c1ccc(-c2ccc(*)s2)s1,4.86
*CC(=O)c1ccc(C(=O)N*)s1,5.38
*CC(=O)c1ccc(C(=S)N*)s1,6.12
*CC(=O)c1ccc(N*)cc1,4.87
*CC(=S)C(=O)N*,5.39
*CC(=S)C(=O)c1ccc(*)s1,4.56
*CC(=S)CC(*)=O,3.95
*CC(=S)CN*,3.83
*CC(=S)Cc1ccc(*)s1,3.58
*CC(=S)NC(*)=S,5.73
*CC(=S)NO*,4.94
*CC(=S)Nc1ccc(*)cc1,4.12
*CC(=S)OC(*)=S,4.44
*CC(=S)ON*,3.87
*CC(=S)Oc1ccc(*)s1,4.24
*CC(=S)c1ccc(-c2ccc(*)cc2)cc1,4.47
*CC(=S)c1ccc(-c2ccc(*)cc2)s1,4.61
*CC(=S)c1ccc(-c2ccc(*)s2)cc1,4.88
*CC(O*)C(F)(F)F,3.3
*CC*,2.72
*CC1SSC(*)C1=O,5.64
*CCC(=O)O*,3.45
*CCC(=O)c1ccc(*)cc1,4.72
*CCC(=S)C(*)=O,4.93
*CCC(=S)c1ccc(*)cc1,3.91
*CCC(F)(F)C(*)(F)F,3.11
*CCC(O*)(C(F)(F)F)C(F)(F)F,3.09
*CCCC(*)=O,3.16
*CCCC(*)=S,3.3
*CCCCC(=O)OCCOC(*)=O,3.68
*CCCCCCC(=O)OCCOC(*)=O,3.57
*CCCCCCCCC(=O)O*,3.06
*CCCCCOC(*)=O,3.15
*CCCCCOC(=O)Nc1cc(NC(=O)O*)ccc1C,3.75
*CCCNC(=S)Nc1ccc(NC(=S)NCCC*)cc1,4.35
*CCCO*,2.98
*CCCSCC*,3.01
*CCCc1ccc(*)cc1,3.13
*CCCc1ccc(*)s1,4.55
*CCNC(*)=S,4.5
*CCNC*,3.02
*CCNO*,3.34
*CCNc1ccc(*)s1,3.78
*CCO*,3.16
*CCOC(=O)c1ccc(C(=O)OCC*)cc1,3.65
*CCOCCOC(=O)Nc1cc(NC(=O)O*)ccc1C,3.73
*CCOc1ccc(*)cc1,3.45
*CCc1ccc(*)cc1,3.98
*CCc1ccc(C(*)=O)s1,4.38
*CCc1ccc(O*)s1,3.6
*CN*,3.28
*CNC(*)=O,4.15
*CNC(=O)c1ccc(*)cc1,4.15
*CNC(=O)c1ccc(*)s1,4.07
*CNC(=S)N*,4.89
*CNC(=S)c1ccc(*)cc1,4.03
*CNC(=S)c1ccc(*)s1,4.45
*CNCO*,3.52
*CNCc1ccc(*)cc1,3.36
*CNCc1ccc(*)s1,3.99
*CNON*,3.49
*CNc1ccc(-c2ccc(*)cc2)cc1,4.24
*CNc1ccc(-c2ccc(*)cc2)s1,4.19
*CNc1ccc(-c2ccc(*)s2)cc1,4.35
*CNc1ccc(-c2ccc(*)s2)s1,4.51
*CO*,3.585
*COC(=O)C(*)=S,4.8
*COC(=O)O*,3.75
*COC(=O)c1ccc(*)cc1,4.08
*COC(=O)c1ccc(C(=O)OC*)cc1,3.82
*COC(=S)C(*)=O,4.74
*COC(=S)N*,4.52
*COC(=S)O*,4.45
*COCC(*)=O,3.63
*COCC(*)=S,3.96
*CONO*,4.16
*CONc1ccc(*)s1,4.04
*COc1ccc(-c2ccc(*)cc2)cc1,3.79
*COc1ccc(-c2ccc(*)s2)s1,4.18
*COc1ccc(O*)cc1,3.8
*Cc1ccc(*)cc1,3.41
*Cc1ccc(*)s1,3.56
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.67
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,3.99
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,4.22
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,4.02
*Cc1ccc(-c2ccc(C*)cc2)cc1,3.58
*Cc1ccc(-c2ccc(C*)s2)cc1,3.75
*Cc1ccc(-c2ccc(O*)cc2)cc1,3.97
*Cc1ccc(C(=O)C(*)=S)cc1,4.22
*Cc1ccc(C(=O)O*)s1,4.2
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,4.08
*Cc1ccc(C(=O)c2ccc(*)s2)s1,4.75
*Cc1ccc(C(=S)c2ccc(*)s2)s1,4.36
*Cc1ccc(CC(*)=S)cc1,3.68
*Cc1ccc(CO*)cc1,3.45
*Cc1ccc(Cc2ccc(*)s2)cc1,3.41
*Cc1ccc(NC(=S)Nc2ccc(NC(=S)Nc3ccc(*)cc3)cc2)cc1,4.63
*Cc1ccc(Nc2ccc(*)s2)s1,3.83
*Cc1ccc(Oc2ccc(*)s2)s1,3.64
*NC(*)=O,5.47
*NC(*)=S,6.05
*NC(=O)C(=S)C(*)=O,6.58
*NC(=O)Nc1ccc(*)cc1,4.91
*NC(=O)Nc1ccc(*)s1,4.93
*NC(=O)c1ccc(-c2ccc(*)cc2)cc1,4.89
*NC(=O)c1ccc(-c2ccc(*)s2)cc1,5.49
*NC(=S)C(=O)c1ccc(*)cc1,6.21
*NC(=S)Cc1ccc(*)s1,4.46
*NC(=S)NC(*)=O,6.0
*NC(=S)Nc1ccc(*)cc1,5.67
*NC(=S)Nc1ccc(*)s1,5.72
*NC(=S)c1ccc(-c2ccc(*)cc2)s1,6.84
*NC(=S)c1ccc(-c2ccc(*)s2)cc1,5.47
*NCC(=O)c1ccc(*)cc1,4.97
*NCC(=O)c1ccc(*)s1,5.42
*NCC(=S)c1ccc(*)cc1,5.51
*NCC(=S)c1ccc(*)s1,6.22
*NCCc1ccc(*)cc1,3.54
*NCNc1ccc(*)cc1,4.27
*NCNc1ccc(*)s1,4.19
*NOCc1ccc(*)cc1,3.84
*NONC(*)=O,4.6
*NONC(*)=S,6.08
*NOc1ccc(-c2ccc(*)cc2)cc1,4.41
*Nc1ccc(*)cc1,5.47
*Nc1ccc(*)s1,4.34
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.29
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.98
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.91
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,7.38
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,4.77
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,7.31
*Nc1ccc(-c2ccc(C(*)=O)s2)cc1,5.97
*Nc1ccc(C(*)=S)cc1,6.73
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,6.1
*Nc1ccc(C(=S)c2ccc(*)cc2)s1,6.48
*Nc1ccc(C(=S)c2ccc(*)s2)s1,6.46
*Nc1ccc(Cc2ccc(*)cc2)cc1,3.92
*Nc1ccc(Cc2ccc(*)cc2)s1,3.98
*Nc1ccc(Cc2ccc(NC(*)=S)cc2)cc1,4.46
*Nc1ccc(Cc2ccc(NC(=S)Nc3ccc(NC(=S)Nc4ccc(Cc5ccc(NC(=S)Nc6ccc(NC(*)=S)cc6)cc5)cc4)cc3)cc2)cc1,4.76
*Nc1ccc(Nc2ccc(*)s2)cc1,4.99
*Nc1ccc(Oc2ccc(*)s2)s1,4.13
*OC(*)=O,4.64
*OC(=O)C(=S)c1ccc(*)s1,5.54
*OC(=O)Cc1ccc(*)s1,3.95
*OC(=O)Nc1ccc(*)cc1,4.73
*OC(=O)OC(*)=S,4.25
*OC(=O)Oc1ccc(*)cc1,4.02
*OC(=O)Oc1ccc(*)s1,4.27
*OC(=O)c1ccc(-c2ccc(*)cc2)cc1,4.14
*OC(=O)c1ccc(-c2ccc(*)s2)cc1,4.84
*OC(=O)c1ccc(-c2ccc(*)s2)s1,5.45
*OC(=O)c1ccc(C(*)=S)cc1,5.5
*OC(=S)C(*)=O,6.82
*OC(=S)C(=O)c1ccc(*)cc1,5.24
*OC(=S)NC(*)=O,5.54
*OC(=S)NC(*)=S,5.97
*OC(=S)Nc1ccc(*)s1,5.04
*OCC(=O)OCC(*)=O,3.7
*OCC(=O)c1ccc(*)cc1,4.16
*OCC(=S)c1ccc(*)cc1,4.48
*OCCC(*)=S,3.75
*OCNc1ccc(*)cc1,4.14
*OCNc1ccc(*)s1,4.19
*OCOc1ccc(*)s1,3.82
*OCc1ccc(-c2ccc(*)s2)cc1,4.1
*OCc1ccc(C(*)=S)s1,4.73
*OCc1ccc(Cc2ccc(C(*)=S)cc2)cc1,3.99
*ONC(=O)C(*)=S,5.79
*ONC(=S)C(*)=O,5.74
*ONC(=S)c1ccc(*)cc1,4.58
*ONCc1ccc(*)cc1,3.64
*ONCc1ccc(*)s1,3.82
*ONOC(*)=O,4.25
*ONOC(*)=S,4.79
*ONOc1ccc(*)cc1,4.13
*ONc1ccc(C(*)=O)cc1,4.76
*O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](O[C@@H]3[C@@H](O)[C@H](O)[C@@H](O[C@@H]4[C@@H](O)[C@H](O)[C@@H](*)O[C@H]4CO)O[C@H]3CO)O[C@H]2CO)O[C@H]1CO,3.78
*Oc1ccc(*)cc1,3.925
*Oc1ccc(*)s1,3.94
*Oc1ccc(-c2ccc(*)s2)cc1,4.89
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.87
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,5.21
*Oc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,5.31
*Oc1ccc(-c2ccc(C(*)=S)s2)cc1,5.48
*Oc1ccc(C(=O)c2ccc(*)s2)s1,5.53
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,4.55
*Oc1ccc(C(=S)c2ccc(*)s2)s1,4.9
*Oc1ccc(CC(*)=S)cc1,3.8
*Oc1ccc(Cc2ccc(*)cc2)cc1,3.48
*Oc1ccc(Cc2ccc(*)cc2)s1,3.6
*Oc1ccc(NC(*)=S)cc1,4.49
*Oc1ccc(NC(=S)Nc2ccc(NC(=S)Nc3ccc(*)cc3)cc2)cc1,4.64
*Oc1ccc(Nc2ccc(*)cc2)cc1,4.37
*Oc1ccc(Nc2ccc(*)s2)cc1,4.15
*Oc1ccc(OC(*)=S)cc1,4.09
*Oc1ccc(OC(*)=S)s1,4.52
*Oc1ccc(Oc2ccc(*)s2)cc1,3.81
*SC(=S)c1ccc(C(=S)OC(=S)c2ccc(C(*)=O)cc2)cc1,5.42
*Sc1ccc(*)cc1,4.16
*c1ccc(*)cc1,4.48
*c1ccc(-c2ccc(*)s2)cc1,5.69
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,5.39
*c1ccc(-c2ccc(Cc3ccc(*)s3)s2)cc1,3.92
*c1ccc(C(=S)c2ccc(-c3ccc(*)cc3)s2)cc1,6.67
*c1ccc(C2CC(*)SS2)s1,6.42
*c1ccc(OCc2ccc(*)s2)cc1,4.05
*c1ccc(Oc2ccc(*)s2)s1,5.62
*c1ccc(Oc2ccc(-c3ccc(*)cc3)s2)cc1,5.02
*c1ccc2nc(*)oc2c1,4.8
*c1ccc2nc(*)sc2c1,5.71
*c1cccc(*)n1,4.46
*c1nc2cc3oc(*)nc3cc2o1,5.69
