smiles,H2_Permeability_Barrer
*/C(=C(/*)c1cccc([Si](C)(C)C)c1)c1ccccc1,1310.000001
*/C(=C(/*)c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,26999.99999
*/C(C)=C(/*)CC(C)C,749.9999993
*/C(C)=C(/*)CCC(C)C,369.9999999
*/C(C)=C(/*)[Si](C)(C)C(C)C,1649.999999
*/C(C)=C(/*)[Si](C)(C)CC,1930.0
*/C(C)=C(/*)[Si](C)(C)CCC,250.0000002
*/C(C)=C(/*)[Si](C)(C)CCCC,65.00000005
*/C(C)=C(/*)[Si](C)(C)CCCCC,47.00000001
*/C(C)=C(/*)[Si](C)(C)c1ccccc1,14.00000001
*/C(C)=C(/*)c1ccccc1,162.0000002
*/C(CC)=C(/*)c1ccccc1,43.00000004
*/C(CCCCCC)=C(/*)c1ccccc1,57.00000004
*/C(Cl)=C(/*)CCCC,57.00000004
*/C(Cl)=C(/*)CCCCCC,66.00000007
*/C(Cl)=C(/*)c1ccccc1,29.00000001
*/C=C(/*)c1ccc(-c2ccc([Si](C)(C)C)cc2)cc1,810.0000002
*/C=C(/*)c1ccc(C[Si](C)(C)C)cc1,419.9999996
*/C=C(/*)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,64.0
*/C=C(/*)c1ccccc1,117.9999999
*/C=C(/*)c1ccccc1C,39.0
*/C=C(/*)c1ccccc1C(F)(F)F,140.0000001
*=CC1CCC(C=*)C1,21.00000001
*=NP(=NP(=*)(Cl)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1)(Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,74.99999993
*=NP(=NP(=*)(Oc1ccc(OC)cc1)Oc1ccccc1CC=C)(OCCCOCCOC)Oc1ccc(OC)cc1,25.00000002
*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccc(O)cc1,340.0
*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,1000.0
*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,1500.0
*C(=C(*)c1ccc2c(c1)C(C)(C)c1cc(Br)ccc1-2)c1ccccc1,3699.999999
*C(=C(*)c1ccc2c(c1)C(C)(C)c1cc([Si](C)(C)C)ccc1-2)c1ccccc1,8500.000006
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cc(F)cc(F)c1,4999.999996
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(Br)cc1,8700.000008
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(C(C)(C)C)cc1,6299.999993
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)c(F)c1,11000.0
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)cc1,11000.0
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,1100.0
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cccc(F)c1,9900.000009
*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccccc1,8100.000002
*C(=C(*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,1900.0
*C(=C(*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccccc1,1400.000001
*C(=C(*)c1cccc(O)c1)c1ccc(C(C)(C)C)cc1,1699.999999
*C(=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc(C(C)(C)C)cc1,3900.0
*C(=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc([Si](C)(C)C)cc1,1600.000001
*C(=O)COc1c(Br)cc(C(C)(C)c2cc(Br)c(OC(=O)c3cc(*)cc(C(C)(C)C)c3)c(Br)c2)cc1Br,54.00000002
*C(=O)COc1c(Br)cc(C(c2cc(Br)c(OC(=O)c3cc(*)cc(C(C)(C)C)c3)c(Br)c2)(C(F)(F)F)C(F)(F)F)cc1Br,148.9999999
*C(=O)COc1c(Br)cc2c(c1Br)C(C)(C)c1cc(Br)c(OC(=O)c3cc(*)cc(C(C)(C)C)c3)c(Br)c1-2,141.0000001
*C(=O)Oc1c(Br)cc(C(C)(C)c2cc(Br)c(OC(=O)c3cc(*)cc(C(C)(C)C)c3)c(Br)c2)cc1Br,53.89999998
*C(=O)Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cc(*)cc(C(C)(C)C)c4)c(Br)c3)OC(=O)c3ccccc32)cc1Br,67.40000007
*C(=O)Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cc(*)cc(C(C)(C)C)c4)c(Br)c3)c3ccccc3-c3ccccc32)cc1Br,137.0
*C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cc(*)cc(C(C)(C)C)c3)cc2)cc1,41.9
*C(=O)Oc1ccc(C(c2ccc(OC(=O)c3cc(*)cc(C(C)(C)C)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,86.6999999
*C(=O)Oc1ccc(C2(c3ccc(OC(=O)c4cc(*)cc(C(C)(C)C)c4)cc3)OC(=O)c3ccccc32)cc1,41.30000003
*C(=O)Oc1ccc(C2(c3ccc(OC(=O)c4cc(*)cc(C(C)(C)C)c4)cc3)c3ccccc3-c3ccccc32)cc1,63.09999996
*C(=O)c1ccc(-c2ccc(C(=O)c3ccc(Oc4ccc(S(=O)(=O)c5ccc(Oc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,8.380000007
*C(=O)c1ccc(-c2nc3cc(C(c4ccc5oc(-c6ccc(*)cc6)nc5c4)(C(F)(F)F)C(F)(F)F)ccc3o2)cc1,24.80000001
*C(=O)c1ccc(C(c2ccc(C(=O)c3ccc(Oc4ccc(C(c5ccc(Oc6ccc(*)cc6)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,31.39999999
*C(=O)c1ccc(Oc2ccc(Oc3ccc(*)cc3)cc2-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,21.00000001
*C(=O)c1ccc(Oc2ccc(Oc3ccc(*)cc3)cc2-c2cccc(C(F)(F)F)c2)cc1,5.099999999
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4Cc5ccc(*)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,30.80000004
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N(c3ccccc3)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,12.7
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O,16.1
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c1)C2=O,24.59999999
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6Cc7ccc(*)cc7C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O,16.1
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6Cc7ccc(*)cc7C6=O)cc5C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c1)C2=O,24.59999999
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4Cc5ccc(*)cc5C4=O)cc3)cc1)C2=O,4.789999995
*C(C)=C(*)C(C)C,5720.000003
*C(C)=C(*)CCCCC,150.0
*C(C)=C(*)CCCCCC,140.0000001
*C(C)=C(*)CCCCCCC,150.0
*C(C)=C(*)CCCCCCCC,140.0000001
*C(C)=C(*)SCCCC,69.00000004
*C(C)=C(*)SCCCCCC,75.99999995
*C(C)=C(*)SCCCCCCCC,90.99999993
*C(C)=C(*)SCCCCCCCCCC,78.00000006
*C(C)=C(*)[Si](C)(C)C,15400.00001
*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,2600.0
*C(Cl)=C(*)c1ccccc1,44.8
*C(F)(F)C(F)(F)C1(F)C(F)(F)C(*)(F)OC(F)(F)C1(F)F,59.00000005
*C(F)(F)C(F)(F)CC1(F)OC(F)(F)OC1(*)OC(F)(F)F,210.0000001
*C1C(*)C2CC1C1C2C([Si](C)(C)C)C1[Si](C)(C)C,4090.0
*C1C(*)C2CC1C1CC([Si](C)(C)C)C21,2059.999998
*C=C(*)C(C)(C)C,1149.999999
*C=CC1CC(*)c2c1c(O)n(C13CC4CC(CC(C4)C1)C3)c2O,12.80000001
*C=CC1CC(*)c2c1c(O)n(C1CCCCC1)c2O,16.1
*C=CC1CC(*)c2c1c(O)n(-c1c(F)c(F)c(F)c(F)c1F)c2O,38.50000004
*C=CC1CC(*)c2c1c(O)n(-c1ccccc1)c2O,11.0
*C=CC1CC(*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,690.0000004
*C=CC1CC(*)CC1[Si](C)(C)C,140.0000001
*C=CC1CC(*)CC1[Si](C)(C)C[Si](C)(C)C,72.99999998
*C=CC1OC(C=CC2CC(*)c3c2c(O)n(-c2ccccc2)c3O)c2c1c(O)n(-c1c(F)c(F)c(F)c(F)c1F)c2O,19.49999998
*C=CC1OC(*)c2c1c(O)n(-c1c(F)c(F)c(F)c(F)c1F)c2O,22.89999998
*CC(F)(F)C(F)(F)C1(F)OC(C(F)(F)F)(C(F)(F)F)OC1(*)F,2089.999999
*CC(*)(C)C(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,81.99999993
*CC(*)(C)C(=O)OC(C)(C)C,62.20000004
*CC(*)C(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,300.0000002
*CC(*)C(=O)OC,10.59999999
*CC(*)C(=O)OCCCCCCCCCC,92.69999997
*CC(*)[Si](C)(C)C,200.0000002
*CC(*)c1ccc(C[Si](C)(C)C)cc1,54.00000002
*CC(*)c1ccc([Si](C)(C)C)cc1,182.0
*CC(*)c1ccc([Si](C)(C)CCC(F)(F)F)cc1,109.0
*CCC1CC(*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,460.0000003
*CCCCCOC(*)=O,5.060000002
*CN1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(Cc3ccc(-c5cc(C)c(-c6ccc(*)cc6C)cc5C)c(C)c3)C4=O)C(F)(F)F)cc2C1=O,71.99999993
*COC*,1.8
*COc1c(Br)cc(C(c2cc(Br)c(OC(=O)c3cccc(C(*)=O)c3)c(Br)c2)(C(F)(F)F)C(F)(F)F)cc1Br,65.00000005
*Cc1cc(C)c(Oc2ccc(C(C)(C)c3ccc(Oc4c(C)cc(*)cc4C)cc3)cc2)c(C)c1,34.49999999
*Cc1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(*)cc4C)cc3)cc2)c(C)c1,22.8
*Cc1ccc(N2C(=O)c3ccc(Oc4ccc(Oc5ccc6c(c5)C(=O)N(c5ccc(*)cc5C)C6=O)cc4)cc3C2=O)c(C)c1,7.829999999
*N=P(*)(OCC(C)(C)C)OC(C)(C)C,65.70000007
*N=P(*)(OCC(C)C)OC(C)C,166.9999999
*N=P(*)(OCC(C)CC)OC(C)CC,94.99999994
*N=P(*)(OCCC)OCCCC,169.9999999
*N=P(*)(Oc1ccc(C(C)(C)C)cc1)Oc1ccc(C(C)(C)C)cc1,23.0
*N=P(*)(Oc1ccccc1)Oc1ccccc1,7.499999993
*Nc1ccc(C(c2ccc(NC(=O)c3cc(C(*)=O)cc(-c4ccccc4)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,41.99999996
*Nc1ccc(C(c2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,29.00000001
*Nc1ccc(Oc2ccc(N3C(=O)c4ccc(C(=O)Nc5cccc(N6C(=O)c7ccc(C(=O)Nc8ccc(Oc9ccc(N%10C(=O)c%11ccc(C(*)=O)cc%11C%10=O)cc9)cc8)cc7C6=O)c5)cc4C3=O)cc2)cc1,4.439999999
*Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3cc(C(*)=O)cc(-c4ccccc4)c3)cc2)cc1,7.599999995
*Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)cc1,4.300000004
*Nc1cccc(NC(=O)c2ccc(C(c3ccc(C(*)=O)cc3)(C(F)(F)F)C(F)(F)F)cc2)c1,23.0
*OC(=O)Oc1ccc2c(c1)C1(CC(C)(C)c3ccc(*)cc31)CC2(C)C,57.00000004
*OC(=O)c1cc(C(=O)COc2c(Br)cc3c(c2Br)C(=C)OC32c3cc(Br)c(*)c(Br)c32)cc(C(C)(C)C)c1,67.50000003
*OC(=O)c1cccc(C(=O)COc2c(Br)cc3c(c2Br)C(=C)OC32c3cc(Br)c(*)c(Br)c32)c1,27.89999998
*OC(=O)c1cccc(C(=O)Oc2c(C)cc(C(C)(C)c3cc(C)c(*)c(Br)c3)cc2Br)c1,23.3
*OC1C(COC(C)=O)OC(OC2C(COC(C)=O)OC(*)C(OC(C)=O)C2O)C(OC(C)=O)C1O,14.89999999
*OC1C(COCC)OC(*)C(O)C1O,65.20000004
*OCC(=O)c1cccc(C(=O)Oc2c(Br)cc3c(c2Br)-c2cc(Br)c(*)c(Br)c2C3(C)C)c1,53.5
*OOc1ccc(C(c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,37.30000002
*OOc1ccc2cc(*)ccc2c1,7.250000007
*OOc1ccc2ccc(*)cc2c1,8.150000005
*OOc1cccc2c(*)cccc12,8.100000002
*O[Si](*)(C)C,769.9999997
*Oc1c(Br)cc(C(c2cc(Br)c(OC(*)=O)c(Br)c2)(C(F)(F)F)C(F)(F)F)cc1Br,10.59999999
*Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cccc(C(*)=O)c4)c(Br)c3)OC(=O)c3ccccc32)cc1Br,27.10000001
*Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cccc(C(*)=O)c4)c(Br)c3)c3ccccc3-c3ccccc32)cc1Br,62.20000004
*Oc1ccc(-c2ccc(Oc3c(F)c(F)c(COC(c4cccc(C(OCc5c(F)c(F)c(*)c(F)c5F)(C(F)(F)F)C(F)(F)F)c4)(C(F)(F)F)C(F)(F)F)c(F)c3F)cc2)cc1,20.00000002
*Oc1ccc(C(=O)c2ccc(Oc3cc(C)c(C4(c5cc(C(C)C)c(*)cc5C)OC(=O)c5ccccc54)cc3C(C)C)cc2)cc1,42.5
*Oc1ccc(C(=O)c2ccc(Oc3ccc(*)cc3-c3cc(C)cc(C)c3)cc2)cc1,4.600000003
*Oc1ccc(C(=O)c2ccc(Oc3ccc(*)cc3-c3cccc(C)c3)cc2)cc1,3.800000003
*Oc1ccc(C(c2ccc(OC(*)=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,34.99999997
*Oc1ccc(C(c2ccc(Oc3c(F)c(F)c(COC(c4ccc(C(OCc5c(F)c(F)c(*)c(F)c5F)(C(F)(F)F)C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)c(F)c3F)cc2)(C(F)(F)F)C(F)(F)F)cc1,27.99999998
*Oc1ccc(C2(c3ccc(OC(=O)c4cccc(C(*)=O)c4)cc3)OC(=O)c3ccccc32)cc1,14.70000001
*Oc1ccc(C2(c3ccc(OC(=O)c4cccc(C(*)=O)c4)cc3)c3ccccc3-c3ccccc32)cc1,26.09999998
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CC3CCC2C3)cc1,22.10000002
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCCC2)cc1,9.099999993
*Oc1ccc(Cc2ccc(Oc3c(F)c(F)c(COC(c4ccc(C(OCc5c(F)c(F)c(*)c(F)c5F)(C(F)(F)F)C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)c(F)c3F)cc2)cc1,18.0
*Oc1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Cc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,5.079999997
*Oc1ccc(Oc2cccc(*)c2C#N)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,34.99999997
*Oc1ccc(Oc2cccc(*)c2C#N)c(-c2cccc(C(F)(F)F)c2)c1,9.30000001
*Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(-c4cc(C)c(*)c(C)c4C)c(C)c3C)cc2)cc1,62.99999993
*Oc1ccc(S(=O)(=O)c2ccc(Oc3cc(C)c(C(c4cc(C(C)C)c(*)cc4C)c4ccccc4C(=O)O)cc3C(C)C)cc2)cc1,49.59999994
*Oc1ccc(S(=O)(=O)c2ccc(Oc3cc(C)c(C4(c5cc(C(C)C)c(*)cc5C)OC(=O)c5ccccc54)cc3C(C)C)cc2)cc1,30.59999997
*Oc1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(Oc5c(C)ccc(C)c5*)cc4C3=O)c(C)c1C)C2=O,100.0
*Oc1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(Oc5cc(C(C)(C)C)cc(C)c5*)cc4C3=O)c(C)c1C)C2=O,110.0
*Oc1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(Oc5cc(C)c(*)c(C)c5C)cc4C3=O)c(C)c1C)C2=O,230.0
*Oc1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(Oc5cc(C)ccc5*)cc4C3=O)c(C)c1C)C2=O,41.00000003
*Oc1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(Oc5cccc(C)c5*)cc4C3=O)c(C)c1C)C2=O,50.99999999
*Oc1ccc2c(c1)C(=O)N(c1cc(C)c(C)c(N3C(=O)c4ccc(Oc5cc(C)ccc5*)cc4C3=O)c1C)C2=O,41.00000003
*Oc1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(Oc6cc(C)c(*)c(C)c6C)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,76.99999997
*Oc1ccc2c(c1)C(=O)N(c1ccc(N(c3ccccc3)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,11.59999999
*Oc1cccc(Oc2ccc(*)cc2-c2cc(C)cc(C)c2)c1C#N,9.599999999
*Oc1cccc(Oc2ccc(*)cc2-c2cccc(C)c2)c1C#N,6.800000005
