smiles,Thermal_Conductivity_W_per_mK
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,10.17343636
[*]OC(C([*])=O)C,0.1575
[*]CC(C(O)=O)[*],0.45
[*][Si](C)(C)O[*],0.145333333
[*]OCC[*],0.8381875
[*]OCCCCCC([*])=O,100.2566667
[*]C(C1=CC=C(C(OCCO[*])=O)C=C1)=O,0.28675
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,0.260583333
[*]C(C)C[*],0.52825
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,0.210455814
[*]NCCCCCC([*])=O,2.428333333
[H][C@@]1(C[*])C([H])(CO)O[C@](CO[*])([H])[C@@]([H])(NC(C)=O)[C@@](O)1[H],0.5125
[*]C([H])([H])C([H])([H])[*],1.4174
[*]CC(F)([*])F,1.04625
[*]N(CCCCCC([*])=O)[H],1.075375
[*]CC(C)(C(OC)=O)[*],0.32
[*]C([H])([H])C(F)([*])F,2.0375
[*]C(C)C(O[*])=O,1.49
C/C(C[*])=C(C[*])\[H],0.4788375
OC1=C(O)C([*])=C2C(NC=C2)=C1[*],4.9142
[*]C1=CC(CCCCCCCC)=C(C2=C(CCCCCCCC)C=C([*])C=C2)C=C1,3.15
[*]C1=C(CCCCCC)C=C([*])S1,0.39
[*]C([H])([H])C(Cl)([H])[*],0.014
[*]CC(C1=CC=CC=N1)[*],0.0321
[*]C(C1=CC=CC=C1)C[*],0.105
C[Si]([*])(CCCC#N)O[*],0.2525
[*]C(C[*])C1=CC=CC=C1,0.205
[*]CC(C(NC(C)C)=O)[*],0.403333333
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,0.19
[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,0.07
[*]N([H])CCCCCC([*])=O,0.22
[*]C([H])([H])C([H])([H])[*],3.1475
[*]C(C[*])C1=CC=CC=C1,0.035528571
[*]OCCCCCC([*])=O,0.3315
