smiles,Compressive_Strength_MPa
[*]CC(C)(C(OCCN(C)C)=O)[*],1.2
N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],8.1510625
[*]CC([*])OC(C)=O,3.9
[*]CC(C(NC(C)C)=O)[*],0.264
[*]CC(C(OCCCC)=O)[*],2.0
[*]CC([*])(C=C)C,0.1065
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,81.32153846
[*]C/C=C/C[*],0.175
[*][Si](C)(O[*])C,1.4
[*]OCCCCCC([*])=O,19.8355
O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],1.514818182
[*]OCCCOC([*])=O,48.41333333
CC(C([*])=O)O[*],0.107
[*]CC(C(NC(C)C)=O)[*],8.75
[*]NCCCCCC([*])=O,59.06666667
[*]NCCCCCCCCCCCC([*])=O,773.0
[*]CC(C(N)=O)[*],1.203438889
[*]CC(C(N)=O)[*],0.509007895
CC(C([*])=O)O[*],2.75
[*]NCCCCCC([*])=O,47.25
[*]CC([*])O,0.91757
[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,1876.14
[*]NC1=CC=C([*])C=C1,1.2
COC(C([*])(C[*])C)=O,62.1
[*]C/C=C/C[*],7.356
[*]C([H])(O[*])[H],41.0
[*]CC(C(N)=O)[*],16.01688235
[*]CC(C(NC(C)C)=O)[*],0.05302
[*]CC(C)(C(OCCO)=O)[*],4.305
[*]CC(C(NC(C)C)=O)[*],0.5614
[*]C(CC(O[*])C)=O,0.0725
[*]C(CO[*])=O,15.42375
FC(F)(C(F)([*])F)[*],41.6
[*]C1=CC=C([*])N1,0.397
[*]CC([*])O,16.3725
[*]OC(CC([*])=O)C,0.285
[*]CC([*])C#N,0.0289
[*]CC(C#N)[*],0.0289
[*]OCC[*],2.0454
[*]C(C)C(O[*])=O,37.96
CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,7.5822
[*]OC(C([*])=O)C,45.8125
[*]CC(C(O)=O)[*],29.91333333
[*][Si](C)(C)O[*],0.469733333
[*]OCC[*],0.5163
[*]OCCCCCC([*])=O,0.9
[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,246.0
[*]C(C1=CC=C(C(OCCO[*])=O)C=C1)=O,54.98333333
[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,313.75
[*]C(C)C[*],22.47333333
[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,18.59545455
O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,52.38111111
[H][C@@]1(C[*])C([H])(CO)O[C@](CO[*])([H])[C@@]([H])(NC(C)=O)[C@@](O)1[H],1.03226
[*]C([H])([H])C([H])([H])[*],26.595
[*]OC([H])(C)C([*])=O,641.0
[*]CC(C(N(C)C)=O)[*],5.5
[*]CC(C)(C(OC)=O)[*],3.5
[*]C(C)C(O[*])=O,2.75
C/C(C[*])=C(C[*])\[H],3.434
[*]C(C1=CC=CC=C1)C[*],0.9
C[Si]([*])(CCCC#N)O[*],0.00113
[*]CC(C(NC(C)C)=O)[*],0.264
[*]C(F)(C(F)(C(F)(C(F)([*])F)OC(F)(F)C(F)(F)C(F)(F)F)F)F,25.0
[*]CC(C(NC(C)C)=O)[*],0.459125
[*]C(C[*])C1=CC=CC=C1,1.692615385
[*]OCCCCCC([*])=O,19.8355
